controller,time_s,tilt_rad,tilt_deg,tilt_rate_rad_s,tilt_rate_deg_s,x_m,x_dot_m_s,command_accel_m_s2,command_motor_rpm,target_tilt_deg,kp,ki,kd,expert_balance,expert_recovery,expert_drift
PID normal,0.0,0.12217304763960307,7.0,0.0,0.0,0.0,0.0,1.649488859444191,46.32781862745098,-0.0,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.005,0.12212048247838148,6.9969882381125785,-0.021025558683790267,-1.2046757744858205,2.0616892632879065e-05,0.00824641345258931,1.6406423883895382,46.07935516910968,-0.16558226740186247,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.01,0.12196380091684095,6.988011045908786,-0.041654816806714304,-2.3866451994153386,8.235012727608558e-05,0.01644653873280484,1.6311666288819835,45.81321741054898,-0.3306603365982054,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.015,0.12170493579427027,6.973179166922351,-0.06190708505657761,-3.5470146956993043,0.00018496042654525427,0.0245972413622513,1.6210286931953803,45.52848166161887,-0.4951688825298035,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.02,0.12134572958397544,6.952598167097567,-0.08179920626605366,-4.686749286564953,0.0003281924315606082,0.03269522322797744,1.6101992148882616,45.22432313155691,-0.6590391328358016,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.025,0.12088794621728889,6.926369112255139,-0.10134576057341951,-5.806684352400276,0.0005117739278888328,0.040737040227602335,1.5986521281427302,44.90000973146358,-0.8221992137176091,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.030000000000000002,0.12033328192169276,6.894589189070884,-0.12055925469727966,-6.90753647539687,0.00073541515694152,0.04871911880686335,1.586364464532394,44.55489636629262,-0.9845744744732826,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.035,0.11968337514918347,6.857352273929132,-0.13945029664013875,-7.9899134493273145,0.0009988082075108279,0.05663777147699686,1.573316165687154,44.188419673323175,-1.1460877924004356,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.04,0.11893981566470703,6.814749453651709,-0.1580277570258618,-9.054323523500724,0.0013016264825408516,0.06448921139168112,1.559489910449575,43.80009316764478,-1.3066598596159802,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.045,0.11810415285872218,6.766869501772717,-0.17629891817514906,-10.101183944158283,0.001643524236614233,0.07226956605622532,1.5448709552344289,43.38950275846898,-1.4662094532036507,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.049999999999999996,0.11717790334266082,6.7137993137263665,-0.19426961193043174,-11.130828851258084,0.0020241361799808086,0.07997489023522913,1.5294469864106848,42.9563026031053,-1.624653689974301,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.05499999999999999,0.11616255788121206,6.655624304037589,-0.2119443471564038,-12.143516583717489,0.0024430771452714187,0.08760117811901803,1.5132079836243846,42.50021126822482,-1.781908267008534,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.05999999999999999,0.11505958771092173,6.592428768351128,-0.22932642776413248,-13.139436441696535,0.0028999418133279654,0.09514437480373714,1.4961460930722739,42.02100817060222,-1.9378876890454433,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.06499999999999999,0.1138704502905398,6.524296212902169,-0.24641806203477948,-14.118714950385767,0.0033943044948428203,0.10260038713502276,1.4782555098203138,41.518530271894015,-2.092505483684423,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.06999999999999999,0.11259659452483425,6.451309653818836,-0.26322046395290066,-15.08142166597663,0.003925718964738916,0.10996509396062952,1.4595323683388868,40.99266900419202,-2.245674405278385,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.075,0.11123946550019209,6.373551888452134,-0.27973394719860306,-16.027574561015374,0.00449371834643837,0.11723435583323898,1.4399746404981766,40.44336740510467,-2.3973066283156803,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.08,0.10980050876722197,6.2911057407510125,-0.29595801239209524,-16.957145023147575,0.0050978150433641355,0.12440402420088358,1.4195820403333048,39.87061744297478,-2.5473139310140454,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.085,0.10828117420273382,6.204054282537495,-0.3118914281329723,-17.870062498327144,0.005737500715197694,0.13146995011895843,1.3983559349497918,39.274457514555564,-2.6956078697822616,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.09000000000000001,0.10668291948087696,6.112481032388241,-0.32753230632957,-18.76621880687038,0.006412246296577773,0.1384279925146384,1.3762992609962135,38.654970099047645,-2.84209994514368,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.09500000000000001,0.10500721318084996,6.016470133693211,-0.34287817227057044,-19.64547215826326,0.007121502056071975,0.14527402603164474,1.3534164461828517,38.01227955385888,-2.9867017596596135,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.10000000000000002,0.10325553755643409,5.916106513338239,-0.35792602985144367,-20.507650888361237,0.007864697693386413,0.1520039484806933,1.329713335373088,37.34655003879497,-3.1293251683396215,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.10500000000000002,0.10142939099063038,5.811476022345377,-0.37267242233198206,-21.35255694053954,0.008641242472899132,0.1586136879185831,1.305197120818531,36.65798355663157,-3.2698824219793314,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.11000000000000003,0.0995302901568827,5.702665559701859,-0.3871134889678804,-22.1799691104437,0.009450525391712582,0.16509920937673508,1.2798762761496623,35.946818099164666,-3.408286303824512,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.11500000000000003,0.09755977190673101,5.589763180514663,-0.4012450178287921,-22.98964607224126,0.010291915380519519,0.17145652125804306,1.2537604937714386,35.213325888892925,-3.54445025992205,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.12000000000000004,0.09551939490224727,5.472858189542199,-0.4150624950873436,-23.781329202674254,0.011164761535666671,0.1776816814191429,1.226860625347966,34.457811707460465,-3.6782885234841975,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.12500000000000003,0.09341074101024782,5.352041221076796,-0.42856115103801323,-24.554745217746778,0.01206839338088208,0.18377080295362194,1.1991886250923196,33.68061130288523,-3.8097162335615558,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.13000000000000003,0.09123541647404078,5.227404306080879,-0.44173600308140154,-25.309608635542236,0.013002121157206049,0.18972005969026734,1.1707574956069848,32.88208986842463,-3.93864954829245,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.13500000000000004,0.08899505287734241,5.099040927415313,-0.454581895888066,-26.045624077441573,0.013965236139732965,0.19552569141917592,1.1415812360474193,32.06264058668869,-4.065005752971474,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.14000000000000004,0.08669130791397503,4.967046063939842,-0.46709353893661587,-26.762488418897675,0.014957010979832494,0.20118400885740803,1.111674792406049,31.22268323330811,-4.18870336315776,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.14500000000000005,0.0843258659760296,4.831516224212323,-0.4792655416030174,-27.459892799904466,0.015976700071574552,0.20669139836485118,1.0810540097367547,30.362662835103258,-4.309662223023676,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.15000000000000005,0.08190043857233233,4.692549470465096,-0.4910924459619211,-28.137524504374525,0.017023539941133498,0.212044326420057,1.0497355861606952,29.48304837828403,-4.427803599127155,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.15500000000000005,0.07941676458828709,4.550245433492861,-0.5025687574461628,-28.795068716799094,0.01809674965799384,0.21723934386501745,1.0177370285132987,28.58433156274389,-4.543050269775265,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.16000000000000006,0.07687661039746842,4.404705319046482,-0.513688973497305,-29.432210163803177,0.019195531266822788,0.2222730899271425,0.9850766095095471,27.66702559899691,-4.655326610133041,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.16500000000000006,0.07428176983470525,4.256031906290802,-0.5244476103280661,-30.04863464751979,0.02031907023891483,0.22714229602608565,0.9517733263203303,26.73166404474637,-4.764558673219603,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.17000000000000007,0.07163406403981896,4.104329538851487,-0.5348392279066383,-30.644030477085934,0.021466535942150252,0.23184378937252553,0.9178468604668557,25.77879967847245,-4.870674266923199,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.17500000000000007,0.06893534118065389,3.9497041089458493,-0.5448584532631293,-31.218089804003327,0.022637082128444078,0.2363744963655451,0.8833175389528485,24.80900340778476,-4.973603027157808,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.18000000000000008,0.0661874760635588,3.7922630350650794,-0.5545000022095945,-31.770509866604588,0.02382984743769396,0.24073144579484687,0.8482062965657342,23.82286321060707,-5.073276487276166,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.18500000000000008,0.06339236963904106,3.6321152336503104,-0.5637586995572798,-32.300994148415924,0.02504395591726595,0.24491177185369695,0.8125346392881962,22.82098310754822,-5.169628143847493,13.5,0.25,2.25,1.0,0.0,0.0
